"Crew ID","Crew Name","Event ID","Event Identity","Actual Masters Crew Category","Composite","Composite Code","Submitting Club","Submitting Club Index",
"1001350","Berrington","100643","MasA.8+","E","N","","Henley Rowing Club","HEN",
"1002541","RDG-Leen","100643","MasA.8+","D","N","","Reading Rowing Club","RDG",
"1002622","CC3P boys","100643","MasA.8+","E","N","","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","ZCO",
"1002686","HIL-WILLIAMS","100643","MasA.8+","C","N","","Hillingdon Rowing Club","HIL",
"1002820","CAB-MEREDITH","100643","MasA.8+","D","N","","Cantabrigian Rowing Club","CAB",
"1001358","Blue Suede Fools","100603","MasA.8+","A","N","","Las Vegas Institute of Sport Boat Club","LVI",
"1001782","Browne","100603","MasA.8+","A","N","","Avon County Rowing Club","AVN",
"1001823","Canottieri Cagliari","100603","MasA.8+","A","N","","Canottieri Cagliari ","ZYX",
"1002191","CAM-O'DONOGHUE","100603","MasA.8+","A","N","","City of Cambridge Rowing Club","CAM",
"1002354","TRC - Lester","100603","MasA.8+","A","N","","Thames Rowing Club","TRC",
"1002416","TRC - Ewing","100603","MasA.8+","A","N","","Thames Rowing Club","TRC",
"1003133","GRI/ETV/RED/HEC/ALD/BEK","100603","MasA.8+","A","Y","GRI/ABC/BKS/HEC/RDG/ETV","Griffen, The, Boat Club","GRI",
"1001453","ACBB_Vesta_1_2017","100604","MasB.8+","C","N","","Acbb Rowing Club","ZAC",
"1001541","Untrained Melody","100604","MasB.8+","B","N","","Las Vegas Institute of Sport Boat Club","LVI",
"1001895","GLB-Reader","100604","MasB.8+","C","N","","Globe Rowing Club","GLB",
"1002497","MRT-LAMBOURN","100604","MasB.8+","B","N","","St Edward's Martyrs Boat Club","MRT",
"1002663","WBK-WILLIAMS","100604","MasB.8+","B","N","","Walbrook Rowing Club","WBK",
"1002664","LRC-WILLIAMSON","100604","MasB.8+","B","N","","London Rowing Club","LRC",
"1002906","Middleton","100604","MasB.8+","C","N","","Molesey Boat Club","MBC",
"1002918","AZS AWF Warszawa","100604","MasB.8+","B","N","","AZS AWF Warszawa - Poland","ZAB",
"1001343","University of Zagreb","100605","MasC.8+","C","N","","University of Zagreb","ZZG",
"1001395","AGE-HARRIS","100605","MasC.8+","C","N","","Agecroft Rowing Club","AGE",
"1001467","Cercle Nautique de France","100605","MasC.8+","C","N","","Cercle Nautique de France","ZFA",
"1001472","RAF-DAVIS","100605","MasC.8+","C","N","","Royal Air Force Rowing Club","RAF",
"1001546","ETX-ChristieRundel","100605","MasC.8+","C","N","","Eton Excelsior Rowing Club","ETX",
"1001661","Maidenhead C8+","100605","MasC.8+","C","N","","Maidenhead Rowing Club","MHD",
"1001794","SRC-ADAMS","100605","MasC.8+","C","N","","Sudbury Rowing Club","SRC",
"1001819","UPT-SPENCER","100605","MasC.8+","D","N","","Upton Rowing Club","UPT",
"1001896","Brewster","100605","MasC.8+","C","N","","Bedford Rowing Club","BED",
"1001989","Juris 8 Treviso Italy","100605","MasC.8+","C","N","","Circolo Ospedalieri Treviso - Italy","",
"1002023","Oxford Academicals Rowing Club, M8+","100605","MasC.8+","C","N","","Oxford Academicals Rowing Club","OAC",
"1002150","LEA-LARKIN","100605","MasC.8+","C","N","","Lea Rowing Club","LEA",
"1002172","Molesey vets","100605","MasC.8+","C","N","","Molesey Boat Club","MBC",
"1002181","XP1","100605","MasC.8+","C","N","","X-Press Boat Club","XPR",
"1002182","CAB-RICHARDSON","100605","MasC.8+","C","N","","Cantabrigian Rowing Club","CAB",
"1002192","CAM-WATSON","100605","MasC.8+","C","N","","City of Cambridge Rowing Club","CAM",
"1002293","MIK-VEASEY","100605","MasC.8+","C","N","","Milton Keynes Rowing Club","MIK",
"1002301","TRF Westwell","100605","MasC.8+","C","N","","Trafford Rowing Club","TRF",
"1002357","UTC MasC - Horne","100605","MasC.8+","C","N","","Upper Thames Rowing Club","UTC",
"1002477","CHA-ARGOS","100605","MasC.8+","C","N","","Champion Of The Thames (Cambridge) RC","CHA",
"1002548","WRC-MASC","100605","MasC.8+","C","N","","Wallingford Rowing Club","WRC",
"1002677","ROB-GRAF","100605","MasC.8+","C","N","","Rob Roy Boat Club","ROB",
"1002691","WRR-Couper","100605","MasC.8+","C","N","","Worcester Rowing Club","WRR",
"1002828","MIN-BIRTWISTLE","100605","MasC.8+","C","N","","Minerva Bath Rowing Club","MIN",
"1003065","CAB-FRAZER","100605","MasC.8+","C","N","","Cantabrigian Rowing Club","CAB",
"1003220","Newark Rowing Club","100605","MasC.8+","C","N","","Newark Rowing Club","NWK",
"1001345","Maidenhead D8+","100606","MasD.8+","D","N","","Maidenhead Rowing Club","MHD",
"1001349","WEY-THOMAS","100606","MasD.8+","D","N","","Weybridge Rowing Club","WEY",
"1001356","UTC MasD - Jacobs","100606","MasD.8+","D","N","","Upper Thames Rowing Club","UTC",
"1001396","AGE-CLAY","100606","MasD.8+","D","N","","Agecroft Rowing Club","AGE",
"1001624","BEB-MCLEAN","100606","MasD.8+","D","Y","BEB/PET","Bewl Bridge Rowing Club","BEB",
"1001719","A- Toulousain Vet","100606","MasD.8+","D","N","","Aviron Toulousain","ZAT",
"1001905","ZAT sadran aviron bayonnais","100606","MasD.8+","D","N","","Aviron Toulousain","ZAT",
"1002012","MON-MORGAN","100606","MasD.8+","D","N","","Monmouth Rowing Club","MON",
"1002146","MAR-Kirtland","100606","MasD.8+","D","N","","Marlow Rowing Club","MAR",
"1002170","Evesham Masters Men","100606","MasD.8+","D","N","","Evesham Rowing Club","EVE",
"1002226","GRO Jones","100606","MasD.8+","D","N","","Grosvenor Rowing Club, Chester","GRO",
"1002227","GRO Tweedie","100606","MasD.8+","D","N","","Grosvenor Rowing Club, Chester","GRO",
"1002319","MAR-KENT","100606","MasD.8+","D","N","","Marlow Rowing Club","MAR",
"1002682","TTRC - Tubbs","100606","MasD.8+","D","N","","Thames Tradesmen's Rowing Club","TTR",
"1002829","KRC-BASCOMBE","100606","MasD.8+","D","N","","Kingston Rowing Club","KRC",
"1002884","RV Treviris Trier","100606","MasD.8+","D","N","","Rv Treviris Trier","ZTT",
"1002905","Wright","100606","MasD.8+","D","N","","Molesey Boat Club","MBC",
"1003187","Stratford / Bridgnorth","100606","MasD.8+","D","N","","Bridgnorth Rowing Club","BRI",
"1001450","RG Benrath","100607","MasE.8+","E","N","","Rg Benrath","ZBT",
"1001625","MAV-CHAPMAN","100607","MasE.8+","E","N","","Maidstone Invicta Rowing Club","MAV",
"1001643","ABN-TROUP","100607","MasE.8+","E","N","","Abingdon Rowing Club","ABN",
"1001672","RDG-HUDSON","100607","MasE.8+","E","N","","Reading Rowing Club","RDG",
"1001699","Marin Rowing Association, San Francisco, California, USA","100607","MasE.8+","E","N","","Marin Rowing Association","ZNF",
"1001734","BRD-SMITH","100607","MasE.8+","F","N","","Bradford Amateur Rowing Club","BRD",
"1001789","STA-SANGSTER","100607","MasE.8+","E","N","","Star Club","STA",
"1001815","Wassersportverein Waldshut E","100607","MasE.8+","E","N","","Wassersportverein Waldshut","ZWV",
"1001889","Bob","100607","MasE.8+","E","N","","Ruderklub Am Baldeneysee","ZBA",
"1002009","MON-LEWIS","100607","MasE.8+","E","N","","Monmouth Rowing Club","MON",
"1002054","SRC-NICHOLS","100607","MasE.8+","E","N","","Sudbury Rowing Club","SRC",
"1002056","Boothman","100607","MasE.8+","E","N","","Royal Chester Rowing Club","RCH",
"1002100","WLT-Groom","100607","MasE.8+","E","N","","Walton Rowing Club","WLT",
"1002147","MAR-GALE","100607","MasE.8+","E","N","","Marlow Rowing Club","MAR",
"1002148","MAR-Jobbagy","100607","MasE.8+","E","N","","Marlow Rowing Club","MAR",
"1002179","DSR Veterans","100607","MasE.8+","E","N","","Danske Studenters Roklub","ZDS",
"1002320","MAR-PHILLIPS","100607","MasE.8+","E","N","","Marlow Rowing Club","MAR",
"1002527","GLR-VENN","100607","MasE.8+","E","N","","Gloucester Rowing Club","GLR",
"1002544","ROS-Allen","100607","MasE.8+","F","N","","Ross Rowing Club","ROS",
"1002592","Kick it up","100607","MasE.8+","E","N","","Broxbourne Rowing Club","BRX",
"1002644","PGN-GOODE","100607","MasE.8+","E","N","","Pengwern Boat Club","PGN",
"1002660","LRC - Harris","100607","MasE.8+","E","N","","London Rowing Club","LRC",
"1002702","PTR-DESMOND","100607","MasE.8+","E","N","","Putney Town Rowing Club","PTR",
"1002856","RDG-Norton","100607","MasE.8+","E","N","","Reading Rowing Club","RDG",
"1002872","Idroscalo 8","100607","MasE.8+","E","N","","Idroscalo Club ASD - Italy","ZAZ",
"1003085","short","100607","MasE.8+","F","N","","Bradford on Avon Rowing Club","BOA",
"1003134","TSS-TGA","100607","MasE.8+","E","N","","Tideway Scullers School","TSS",
"1003261","WLT - Gillespie","100607","MasE.8+","E","N","","Walton Rowing Club","WLT",
"1001344","GUI-STARLING","100608","MasF.8+","F","N","","Guildford Rowing Club","GUI",
"1001626","MAV-JONES","100608","MasF.8+","F","N","","Maidstone Invicta Rowing Club","MAV",
"1001655","Maidenhead F8+","100608","MasF.8+","F","N","","Maidenhead Rowing Club","MHD",
"1001948","KGS Veterans","100608","MasF.8+","F","N","","Kingston Grammar Sch. Veterans Boat Club","KGV",
"1002197","DUR-STANLEY","100608","MasF.8+","F","Y","DUR/UTC","Durham Amateur Rowing Club","DUR",
"1002270","Ardingly men's vets","100608","MasF.8+","F","N","","Ardingly Rowing Club","ARD",
"1002341","TEE-STOCKING","100608","MasF.8+","F","N","","Tees Rowing Club","TEE",
"1002353","AKN-JACKSON","100608","MasF.8+","G","N","","Auriol Kensington Rowing Club","AKN",
"1002552","LRC-KEAT","100608","MasF.8+","F","N","","London Rowing Club","LRC",
"1002591","BRX-LUMLEY","100608","MasF.8+","F","N","","Broxbourne Rowing Club","BRX",
"1002659","WBK-SANDERS","100608","MasF.8+","F","N","","Walbrook Rowing Club","WBK",
"1002679","BRA-PHILPOTT","100608","MasF.8+","F","N","","Bristol Ariel Rowing Club","BRA",
"1002703","PTR-GRANT","100608","MasF.8+","F","N","","Putney Town Rowing Club","PTR",
"1002912","Mas F - Doug D","100608","MasF.8+","F","N","","Twickenham Rowing Club","TWK",
"1003259","NOR-WESTON","100608","MasF.8+","F","N","","Norwich Rowing Club","NOR",
"1001855","Torstein Rekkedal","100609","MasG.8+","G","N","","Christiania Roklub, NOR","ZCH",
"1002014","MON-BUTLER","100609","MasG.8+","G","N","","Monmouth Rowing Club","MON",
"1002274","BOA-MANSON","100609","MasG.8+","G","N","","Bradford on Avon Rowing Club","BOA",
"1002279","TSS-WATTS","100609","MasG.8+","G","Y","TSS/TYN","Tideway Scullers School","TSS",
"1002692","UTC-HOWELL","100609","MasG.8+","G","N","","Upper Thames Rowing Club","UTC",
"1003185","DAT Atkinson","100609","MasG.8+","G","Y","DAT/","Dart-Totnes Amateur Rowing Club","DAT",
"1003234","TSS-TGA/CYG","100609","MasG.8+","G","Y","TSS/CYG","Tideway Scullers School","TSS",
"1001346","Weybridge Hudson","100610","MasH.8+","H","Y","WEY/NRC","Weybridge Rowing Club","WEY",
"1001955","WRC Composite","100610","MasH.8+","H","N","","Wallingford Rowing Club","WRC",
