"Event ID","Event Identity","Custom Event ID","Number Of Rowers","Sculling Status","Coxed Status","Event Gender","Event Type","Minimum Age","Maximum Age","Crew Status","Sub Category","Event Info","Lightweight Status","Notes",
"422576","SEN.1x","","9","Y","N","Open","Senior","","","Senior","-","","N","",
"422578","IM2.1x","","21","Y","N","Open","Senior","","","Intermediate 2","-","","N","",
"422580","NOV.1x","","41","Y","N","Open","Senior","","","Novice","-","","N","",
"422582","W.SEN.1x","","8","Y","N","Female","Senior","","","Senior","-","","N","",
"422584","W.IM2.1x","","10","Y","N","Female","Senior","","","Intermediate 2","-","","N","",
"422586","W.NOV.1x","","16","Y","N","Female","Senior","","","Novice","-","","N","",
"422588","IM1.LWT.1x","","7","Y","N","Open","Senior","","","Intermediate 1","-","","Y","",
"422590","W.ELI.LWT.1x","","7","Y","N","Female","Senior","","","Elite","-","","Y","",
"422592","W.IM3.LWT.1x","","17","Y","N","Female","Senior","","","Intermediate 3","-","","Y","",
"422594","W.J18.1x","","19","Y","N","Female","Junior","","18","","-","","N","Junior entrants should be at least 16 years of age on the day of the race, i.e. their birth date is on or before 29 November 1998. ",
"422596","MasB.1x","","17","Y","N","Open","Master","36","","","B","","N","",
"422598","MasD.1x","","31","Y","N","Open","Master","50","","","D","","N","",
"422600","MasF.1x","","20","Y","N","Open","Master","60","","","F","","N","",
"422602","MasH.1x","","4","Y","N","Open","Master","70","","","H","","N","",
"422604","MasJ.1x","","0","Y","N","Open","Master","80","","","J","","N","",
"422606","W.MasB.1x","","13","Y","N","Female","Master","36","","","B","","N","",
"422608","W.MasD.1x","","10","Y","N","Female","Master","50","","","D","","N","",
"422610","W.MasF.1x","","4","Y","N","Female","Master","60","","","F","","N","",
"422612","W.MasH.1x","","0","Y","N","Female","Master","70","","","H","","N","",
"422614","W.MasJ.1x","","0","Y","N","Female","Master","80","","","J","","N","",
"422616","W.MasA.NOV.1x","","5","Y","N","Female","Master","27","","Novice","A","","N","Only a Masters A novice category has been created. If there are sufficient older entries received, we will offer an ability to transfer to additional, older categories (subject to at least three entries). ",
"422618","Ada.TA.1x","","0","Y","N","Open","Adaptive","","","","-","","N","All entrants are expected to be able to complete the course in under 35 minutes.",
"422620","W.Ada.TA.1x","","3","Y","N","Female","Adaptive","","","","-","","N","All entrants are expected to be able to complete the course in under 35 minutes.",
"422575","ELI.1x","","8","Y","N","Open","Senior","","","Elite","-","","N","",
"422577","IM1.1x","","9","Y","N","Open","Senior","","","Intermediate 1","-","","N","",
"422579","IM3.1x","","37","Y","N","Open","Senior","","","Intermediate 3","-","","N","",
"422581","W.ELI.1x","","1","Y","N","Female","Senior","","","Elite","-","","N","",
"422583","W.IM1.1x","","6","Y","N","Female","Senior","","","Intermediate 1","-","","N","",
"422585","W.IM3.1x","","17","Y","N","Female","Senior","","","Intermediate 3","-","","N","",
"422587","ELI.LWT.1x","","13","Y","N","Open","Senior","","","Elite","-","","Y","",
"422589","IM3.LWT.1x","","10","Y","N","Open","Senior","","","Intermediate 3","-","","Y","",
"422591","W.IM1.LWT.1x","","10","Y","N","Female","Senior","","","Intermediate 1","-","","Y","",
"422593","J18.1x","","16","Y","N","Open","Junior","","18","","-","","N","Junior entrants should be at least 16 years of age on the day of the race, i.e. their birth date is on or before 29 November 1998. ",
"422595","MasA.1x","","15","Y","N","Open","Master","27","","","A","","N","",
"422597","MasC.1x","","23","Y","N","Open","Master","43","","","C","","N","",
"422599","MasE.1x","","24","Y","N","Open","Master","55","","","E","","N","",
"422601","MasG.1x","","10","Y","N","Open","Master","65","","","G","","N","",
"422603","MasI.1x","","2","Y","N","Open","Master","75","","","I","","N","",
"422605","W.MasA.1x","","12","Y","N","Female","Master","27","","","A","","N","",
"422607","W.MasC.1x","","14","Y","N","Female","Master","43","","","C","","N","",
"422609","W.MasE.1x","","10","Y","N","Female","Master","55","","","E","","N","",
"422611","W.MasG.1x","","1","Y","N","Female","Master","65","","","G","","N","",
"422613","W.MasI.1x","","0","Y","N","Female","Master","75","","","I","","N","",
"422615","MasA.NOV.1x","","12","Y","N","Open","Master","27","","Novice","A","","N","Only a Masters A novice category has been created. If there are sufficient older entries received, we will offer an ability to transfer to additional, older categories (subject to at least three entries). ",
"422617","Ada.LTA.1x","","2","Y","N","Open","Adaptive","","","","-","","N","All entrants are expected to be able to complete the course in under 35 minutes.",
"422619","W.Ada.LTA.1x","","1","Y","N","Female","Adaptive","","","","-","","N","All entrants are expected to be able to complete the course in under 35 minutes.",
