"Event ID","Event Identity","Custom Event ID","Number Of Rowers","Sculling Status","Coxed Status","Event Gender","Event Type","Minimum Age","Maximum Age","Crew Status","Sub Category","Event Info","Lightweight Status","Notes",
"498235","MasA.8+","","90","N","Y","Open","Master","27","","","A","","N","",
"498236","MasC.8+","","279","N","Y","Open","Master","43","","","C","","N","",
"498237","MasE.8+","","279","N","Y","Open","Master","55","","","E","","N","",
"498238","MasG.8+","","90","N","Y","Open","Master","65","","","G","","N","",
"498239","MasI.8+","","0","N","Y","Open","Master","75","","","I","","N","",
"498240","Mx.MasB.8+","","18","N","Y","Mixed","Master","36","","","B","","N","",
"498241","Mx.MasD.8+","","36","N","Y","Mixed","Master","50","","","D","","N","",
"498242","Mx.MasF.8+","","9","N","Y","Mixed","Master","60","","","F","","N","",
"498243","Mx.MasH.8+","","0","N","Y","Mixed","Master","70","","","H","","N","",
"498244","W.MasA.8+","","45","N","Y","Female","Master","27","","","A","","N","",
"498245","W.MasC.8+","","126","N","Y","Female","Master","43","","","C","","N","",
"498246","W.MasE.8+","","72","N","Y","Female","Master","55","","","E","","N","",
"498247","W.MasG.8+","","0","N","Y","Female","Master","65","","","G","","N","",
"498248","W.MasI.8+","","0","N","Y","Female","Master","75","","","I","","N","",
"498249","MasB.NOV.8+","","0","N","Y","Open","Master","36","","Novice","B","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter MasB.8+. ",
"498250","MasD.NOV.8+","","9","N","Y","Open","Master","50","","Novice","D","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter MasD.8+. ",
"498251","Mx.MasA.NOV.8+","","0","N","Y","Mixed","Master","27","","Novice","A","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter Mx,MasA.8+. ",
"498252","Mx.MasC.NOV.8+","","0","N","Y","Mixed","Master","43","","Novice","C","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter Mx,MasC.8+. ",
"498253","Mx.MasE.NOV.8+","","0","N","Y","Mixed","Master","55","","Novice","E","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter Mx,MasE.8+. ",
"498254","W.MasB.NOV.8+","","18","N","Y","Female","Master","36","","Novice","B","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter W,MasB.8+. ",
"498255","W.MasD.NOV.8+","","9","N","Y","Female","Master","50","","Novice","D","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter W,MasD.8+. ",
"498256","MasB.8+","","117","N","Y","Open","Master","36","","","B","","N","",
"498257","MasD.8+","","315","N","Y","Open","Master","50","","","D","","N","",
"498258","MasF.8+","","162","N","Y","Open","Master","60","","","F","","N","",
"498259","MasH.8+","","18","N","Y","Open","Master","70","","","H","","N","",
"498260","Mx.MasA.8+","","27","N","Y","Mixed","Master","27","","","A","","N","",
"498261","Mx.MasC.8+","","81","N","Y","Mixed","Master","43","","","C","","N","",
"498262","Mx.MasE.8+","","54","N","Y","Mixed","Master","55","","","E","","N","",
"498263","Mx.MasG.8+","","9","N","Y","Mixed","Master","65","","","G","","N","",
"498264","Mx.MasI.8+","","0","N","Y","Mixed","Master","75","","","I","","N","",
"498265","W.MasB.8+","","117","N","Y","Female","Master","36","","","B","","N","",
"498266","W.MasD.8+","","162","N","Y","Female","Master","50","","","D","","N","",
"498267","W.MasF.8+","","0","N","Y","Female","Master","60","","","F","","N","",
"498268","W.MasH.8+","","0","N","Y","Female","Master","70","","","H","","N","",
