"Crew ID","Crew Name","Event ID","Event Identity","Actual Masters Crew Category","Composite","Composite Code","Submitting Club","Submitting Club Index",
"1026966","AKN-MEARING-SMITH","118803","MasA.1x","A","N","","Auriol Kensington Rowing Club","AKN",
"1026987","TRC-RYAN","118803","MasA.1x","A","N","","Thames Rowing Club","TRC",
"1026988","TRC-LEE","118803","MasA.1x","A","N","","Thames Rowing Club","TRC",
"1027298","GLR-RODFORD","118803","MasA.1x","A","N","","Gloucester Rowing Club","GLR",
"1027317","UTC-CARTER","118803","MasA.1x","A","N","","Upper Thames Rowing Club","UTC",
"1027697","SON-BRINKER","118803","MasA.1x","A","N","","Sons of the Thames Rowing Club","SON",
"1027698","SON-REYNOLDS","118803","MasA.1x","A","N","","Sons of the Thames Rowing Club","SON",
"1028182","CYG-SEARS","118803","MasA.1x","A","N","","Cygnet Rowing Club","CYG",
"1028241","ABN-FERGUS","118803","MasA.1x","A","N","","Abingdon Rowing Club","ABN",
"1028294","CBR-PASCOVITCH","118803","MasA.1x","A","N","","Bristol, City of, Rowing Club","CBR",
"1028296","CBR-WADSWORTH","118803","MasA.1x","A","N","","Bristol, City of, Rowing Club","CBR",
"1028326","LEA-CARDELLA","118803","MasA.1x","A","N","","Lea Rowing Club","LEA",
"1028549","-CLEMENTS","118803","MasA.1x","A","N","","Dubai Rowing & Sculling Club","",
"1028708","TSS-BECKETT","118803","MasA.1x","A","N","","Tideway Scullers School","TSS",
"1028709","TSS-BLAKE","118803","MasA.1x","A","N","","Tideway Scullers School","TSS",
"1028718","TSS-MCORIST","118803","MasA.1x","A","N","","Tideway Scullers School","TSS",
"1028720","TSS-DUNLEY","118803","MasA.1x","A","N","","Tideway Scullers School","TSS",
"1028721","TSS-RIDLER","118803","MasA.1x","A","N","","Tideway Scullers School","TSS",
"1028722","TSS-O'REILLY","118803","MasA.1x","A","N","","Tideway Scullers School","TSS",
"1028735","TSS-WILKOJC","118803","MasA.1x","A","N","","Tideway Scullers School","TSS",
"1028955","CFA-GEORGE","118803","MasA.1x","A","N","","Cardiff University Alumni Rowing Club","CFA",
"1028987","MBC-BROADEST","118803","MasA.1x","A","N","","Molesey Boat Club","MBC",
"1029095","TSS-SANDERS","118803","MasA.1x","A","N","","Tideway Scullers School","TSS",
"1029727","VRC-TURNER","118803","MasA.1x","A","N","","Vesta Rowing Club","VRC",
"1026862","TTR-DODD","118804","MasB.1x","B","N","","Thames Tradesmen's Rowing Club","TTR",
"1027055","TKC-KEANE","118804","MasB.1x","B","N","","Team Keane Sculling School","TKC",
"1027057","MON-BUTLER","118804","MasB.1x","B","N","","Monmouth Rowing Club","MON",
"1027135","HEN-HILLYARD","118804","MasB.1x","B","N","","Henley Rowing Club","HEN",
"1027156","TRC-YATES","118804","MasB.1x","B","N","","Thames Rowing Club","TRC",
"1027163","LER-SMITH","118804","MasB.1x","B","N","","Leicester Rowing Club","LER",
"1027699","SON-CROFORD","118804","MasB.1x","B","N","","Sons of the Thames Rowing Club","SON",
"1027767","ETX-SUTTON","118804","MasB.1x","B","N","","Eton Excelsior Rowing Club","ETX",
"1027784","MBC-MCLELLAN","118804","MasB.1x","B","N","","Molesey Boat Club","MBC",
"1027850","TWK-KOLIMECHKOV","118804","MasB.1x","B","N","","Twickenham Rowing Club","TWK",
"1028009","MON-COLLING","118804","MasB.1x","B","N","","Monmouth Rowing Club","MON",
"1028180","CYG-PIGUET","118804","MasB.1x","B","N","","Cygnet Rowing Club","CYG",
"1028234","MBC-MIDDLETON","118804","MasB.1x","B","N","","Molesey Boat Club","MBC",
"1028419","EXE-ROWSE","118804","MasB.1x","B","N","","Exeter Rowing Club Ltd","EXE",
"1028440","AKN-VON KALTENBORN","118804","MasB.1x","C","N","","Auriol Kensington Rowing Club","AKN",
"1028763","CUR-SCOTT","118804","MasB.1x","B","N","","Curlew Rowing Club","CUR",
"1028780","SON-FODEN","118804","MasB.1x","B","N","","Sons of the Thames Rowing Club","SON",
"1028862","CBR-Friedemann","118804","MasB.1x","B","N","","Bristol, City of, Rowing Club","CBR",
"1028964","UES-ZIMMERMAN","118804","MasB.1x","B","N","","Essex, University of, Rowing Club","UES",
"1029114","Hickling","118804","MasB.1x","B","N","","Putney Town Rowing Club","PTR",
"1029655","BRX-SCORAH","118804","MasB.1x","B","N","","Broxbourne Rowing Club","BRX",
"1029738","HEN-JACOB","118804","MasB.1x","B","N","","Henley Rowing Club","HEN",
"1029739","HEN-HARSANT","118804","MasB.1x","B","N","","Henley Rowing Club","HEN",
"1029742","HEN-ADMIRAAL","118804","MasB.1x","B","N","","Henley Rowing Club","HEN",
"1029813","PBD-ANTAR","118804","MasB.1x","B","N","","Poplar Blackwall & District Rowing Club","PBD",
"1026819","NST-SILVESTER","118805","MasC.1x","C","N","","North Staffordshire Rowing Club","NST",
"1026859","Reynolds","118805","MasC.1x","C","N","","Thames Tradesmen's Rowing Club","TTR",
"1027157","TRC-ANDREESEN","118805","MasC.1x","C","N","","Thames Rowing Club","TRC",
"1027162","MAR-GARNETT","118805","MasC.1x","C","N","","Marlow Rowing Club","MAR",
"1027488","BLD-DAVIES","118805","MasC.1x","C","N","","Broadland Boat Club","BLD",
"1027597","ETX-WILLIAMS","118805","MasC.1x","C","N","","Eton Excelsior Rowing Club","ETX",
"1027849","UTC-SENIOR","118805","MasC.1x","C","N","","Upper Thames Rowing Club","UTC",
"1027852","MAR-THOMAS","118805","MasC.1x","C","N","","Marlow Rowing Club","MAR",
"1028179","CYG-PRETZLIK","118805","MasC.1x","C","N","","Cygnet Rowing Club","CYG",
"1028185","CYG-RAE","118805","MasC.1x","C","N","","Cygnet Rowing Club","CYG",
"1028364","RDG-CONEYBEARE","118805","MasC.1x","C","N","","Reading Rowing Club","RDG",
"1028422","YRK-BARON","118805","MasC.1x","C","N","","York City Rowing Club","YRK",
"1028464","LRC-GRACE","118805","MasC.1x","C","N","","London Rowing Club","LRC",
"1028557","-BRAMLEY","118805","MasC.1x","C","N","","Dubai Rowing & Sculling Club","",
"1028565","MAV-HUMPHRIS","118805","MasC.1x","C","N","","Maidstone Invicta Rowing Club","MAV",
"1028685","FSC-HELLIER","118805","MasC.1x","C","N","","Furnivall Sculling Club","FSC",
"1028727","BRX-BIELBY","118805","MasC.1x","C","N","","Broxbourne Rowing Club","BRX",
"1028729","BRX-HARRIS","118805","MasC.1x","C","N","","Broxbourne Rowing Club","BRX",
"1028756","CAB-MORLEY","118805","MasC.1x","C","N","","Cantabrigian Rowing Club","CAB",
"1028859","WAR-ROTKOP","118805","MasC.1x","C","N","","Warwick Boat Club","WAR",
"1028948","ARD-DOMBROWE","118805","MasC.1x","C","N","","Ardingly Rowing Club","ARD",
"1029128","MBC-BELLAMY","118805","MasC.1x","C","N","","Molesey Boat Club","MBC",
"1029309","TSS-NEWTON","118805","MasC.1x","C","N","","Tideway Scullers School","TSS",
"1029628","MBC-SHIRLEY","118805","MasC.1x","C","N","","Molesey Boat Club","MBC",
"1029652","ROB-GRAF","118805","MasC.1x","C","N","","Rob Roy Boat Club","ROB",
"1029686","PTR-BOILEAU","118805","MasC.1x","C","N","","Putney Town Rowing Club","PTR",
"1029716","VRC-GALAVOTTI","118805","MasC.1x","C","N","","Vesta Rowing Club","VRC",
"1029741","HEN-RASEK","118805","MasC.1x","C","N","","Henley Rowing Club","HEN",
"1026829","MHD-STOCKDALE","118806","MasD.1x","D","N","","Maidenhead Rowing Club","MHD",
"1026863","MHD-STEEL","118806","MasD.1x","D","N","","Maidenhead Rowing Club","MHD",
"1027008","ETX-LEN","118806","MasD.1x","D","N","","Eton Excelsior Rowing Club","ETX",
"1027009","ETX-FULTON","118806","MasD.1x","D","N","","Eton Excelsior Rowing Club","ETX",
