"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max",
"1026827","118791","1x","Op 1x","","AKN","Auriol Kensington Rowing Club","Mackworth-Praed","N","","","","","","","One of: Finished, Did Not Start, Did Not Finish, Time Only, Disqualified","0","0","722","722","0","0","722","722",
"1026956","118791","1x","Op 1x","","PTR","Putney Town Rowing Club","PTR-DISERENS-S","N","","","","","","","","434","434","281","281","434","434","281","281",
"1026986","118791","1x","Op 1x","","TRC","Thames Rowing Club","TRC-HOIER","N","","","","","","","","134","154","28","224","134","154","28","224",
"1026997","118791","1x","Op 1x","","LDR","Leander Club","LDR-KIRKWOOD","N","","A","","","","","","94","374","145","578","94","374","145","578",
"1027007","118791","1x","Op 1x","","ETX","Eton Excelsior Rowing Club","ETX-MILNE","N","","","","","","","","28","224","59","79","28","224","59","79",
"1027048","118791","1x","Op 1x","","MED","Medway Towns Rowing Club","MED-BLAIR","N","","","","","","","","2","16","126","126","2","16","126","126",
"1027099","118791","1x","Op 1x","","BED","Bedford Rowing Club","Matt Farley","N","","M","","","","","","47","47","252","252","47","47","252","252",
"1027143","118791","1x","Op 1x","","CAB","Cantabrigian Rowing Club","CAB-ADAMS","N","","","","","","","","233","311","163","163","233","311","163","163",
"1027235","118791","1x","Op 1x","","BIR","Birmingham Rowing Club","BIR-BYFORD","N","","","","","","","","0","0","609","609","0","0","609","609",
"1027246","118791","1x","Op 1x","","WLT","Walton Rowing Club","WLT-KNILL","N","","","","","","","","0","0","33","264","0","0","33","264",
"1027265","118791","1x","Op 1x","","QBC","Quintin Boat Club","QBC-O'BRIEN","N","","","","","","","","2","12","97","154","2","12","97","154",
"1027268","118791","1x","Op 1x","","QBC","Quintin Boat Club","QBC-BROWN","N","","","","","","","","209","209","27","71","209","209","27","71",
