"Event ID","Event Name","Crew ID","Crew Name","Club Name","Band","Group",
"125160","Op MasA 8+","1038415","AZS AWF","AZS AWF Warszawa - Poland","","",
"125160","Op MasA 8+","1038116","TRC-LESTER","Thames Rowing Club","","",
"125161","Op MasB 8+","1035910","Aviron Toulousain","Aviron Toulousain","","",
"125161","Op MasB 8+","1037574","CUR-PETIT","Curlew Rowing Club","","",
"125161","Op MasB 8+","1037099","CUR-STEWART","Curlew Rowing Club","","",
"125161","Op MasB 8+","1036654","LYM-DAVIES","Lymington Amateur Rowing Club","","",
"125161","Op MasB 8+","1037881","MBC-Gillard","Molesey Boat Club","","",
"125161","Op MasB 8+","1037736","MON-MORGAN","Monmouth Rowing Club","","",
"125161","Op MasB 8+","1037875","Senior Men","Henley Rowing Club","","",
"125161","Op MasB 8+","1038063","TSS - A. Smith","Tideway Scullers School","","",
"125162","Op MasC 8+","1038161","ABD-GARDNER","Aberdeen Boat Club","","",
"125162","Op MasC 8+","1037103","AGE-MORGAN","Agecroft Rowing Club","","",
"125162","Op MasC 8+","1037252","BED-WALSH","Bedford Rowing Club","","",
"125162","Op MasC 8+","1035902","CAB-POACHERS","Cantabrigian Rowing Club","","",
"125162","Op MasC 8+","1037845","CAM-WARE","City of Cambridge Rowing Club","","",
"125162","Op MasC 8+","1036221","CBR-SPINK","Bristol, City of, Rowing Club","","",
"125162","Op MasC 8+","1037673","CRB-PARISH","Crabtree Boat Club","","",
"125162","Op MasC 8+","1036475","KRC-WHEATON","Kingston Rowing Club","","",
"125162","Op MasC 8+","1037440","LEA-RICHARDSON","Lea Rowing Club","","",
"125162","Op MasC 8+","1037545","LRC-VAN TIEL","London Rowing Club","","",
"125162","Op MasC 8+","1038207","Máistrí na hÉireann","Commercial Rowing Club, IRE","","",
"125162","Op MasC 8+","1037090","MAR-MOON","Marlow Rowing Club","","",
"125162","Op MasC 8+","1038012","MBC-Bellamy","Molesey Boat Club","","",
"125162","Op MasC 8+","1036424","Rameurs toulousains","Aviron Toulousain","","",
"125162","Op MasC 8+","1036702","TRF-THOMPSON","Trafford Rowing Club","","",
"125162","Op MasC 8+","1036275","UTC-SHIMMIN","Upper Thames Rowing Club","","",
"125163","Op MasD 8+","1037248","BED-Chillingsworth","Bedford Rowing Club","","",
"125163","Op MasD 8+","1035880","CAB-AQUAPHOBES","Cantabrigian Rowing Club","","",
"125163","Op MasD 8+","1038021","CAB-HUNTERS","Cantabrigian Rowing Club","","",
"125163","Op MasD 8+","1036791","CC3P Giulio","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","","",
"125163","Op MasD 8+","1038163","DAT-SPEED","Dart-Totnes Amateur Rowing Club","","",
"125163","Op MasD 8+","1035467","Hen - Berrington","Henley Rowing Club","","",
"125163","Op MasD 8+","1037731","Kirtland","Marlow Rowing Club","","",
"125163","Op MasD 8+","1038090","LRC-LEPPARD","London Rowing Club","","",
"125163","Op MasD 8+","1037088","MAR-FURNESS","Marlow Rowing Club","","",
"125163","Op MasD 8+","1038760","MAV-CHAPMAN","Maidstone Invicta Rowing Club","","",
"125163","Op MasD 8+","1035413","MHD - Scott","Maidenhead Rowing Club","","",
"125163","Op MasD 8+","1037994","PET-BAILE","Peterborough City Rowing Club","","",
"125163","Op MasD 8+","1037942","SON-MACLACHLAN","Sons of the Thames Rowing Club","","",
"125163","Op MasD 8+","1036212","STA-SOGAN","Star Club","","",
"125163","Op MasD 8+","1037173","TKC-VALDINI","Team Keane Sculling School","","",
"125163","Op MasD 8+","1037666","TRC-TUNNAH","Thames Rowing Club","","",
"125163","Op MasD 8+","1038008","TYN-HUNTER","Tyne Amateur Rowing Club","","",
"125163","Op MasD 8+","1038007","TYN-ROUTLEDGE","Tyne Amateur Rowing Club","","",
"125163","Op MasD 8+","1035455","UTC-JACOBS","Upper Thames Rowing Club","","",
"125163","Op MasD 8+","1037840","WEY-THOMAS","Weybridge Rowing Club","","",
"125163","Op MasD 8+","1035968","ZAT sadran aviron bayonnais","Aviron Toulousain","","",
"125164","Op MasE 8+","1035616","ABN-TROUP","Abingdon Rowing Club","","",
"125164","Op MasE 8+","1038479","ARD-BANKS","Ardingly Rowing Club","","",
"125164","Op MasE 8+","1036139","ARV 508","Akademische Ruderverbindung ""Westfalen""","","",
"125164","Op MasE 8+","1037743","Bar Flies","Quintin Boat Club","","",
"125164","Op MasE 8+","1036432","Carpenter","Thames Tradesmen's Rowing Club","","",
"125164","Op MasE 8+","1036857","CYG-WHELDAL","Cygnet Rowing Club","","",
"125164","Op MasE 8+","1037433","DSR Veterans","Danske Studenters Roklub","","",
"125164","Op MasE 8+","1035454","GLR-VENN","Gloucester Rowing Club","","",
"125164","Op MasE 8+","1037258","GRO - Bancroft","Grosvenor Rowing Club, Chester","","",
"125164","Op MasE 8+","1038100","Hosking luggers","Broxbourne Rowing Club","","",
"125164","Op MasE 8+","1036473","KRC-WORTHINGTON","Kingston Rowing Club","","",
"125164","Op MasE 8+","1037547","LRC-HARRIS","London Rowing Club","","",
"125164","Op MasE 8+","1037087","MAR-KENT","Marlow Rowing Club","","",
"125164","Op MasE 8+","1037890","MBC-BOWMAN","Molesey Boat Club","","",
"125164","Op MasE 8+","1035415","MHD-STEEL","Maidenhead Rowing Club","","",
"125164","Op MasE 8+","1036759","Mon-Barnett","Monmouth Rowing Club","","",
"125164","Op MasE 8+","1036575","PET-RYDER","Peterborough City Rowing Club","","",
"125164","Op MasE 8+","1037763","RCH-STEPHENS","Royal Chester Rowing Club","","",
"125164","Op MasE 8+","1037839","REX-Menzies","Rex Boat Club","","",
"125164","Op MasE 8+","1037074","RG Benrath","Rg Benrath","","",
"125164","Op MasE 8+","1037323","SHO-BAILEY","Shoreham Rowing Club","","",
"125164","Op MasE 8+","1036845","SRC-ADAMS","Sudbury Rowing Club","","",
"125164","Op MasE 8+","1036211","STA-HUNT","Star Club","","",
"125164","Op MasE 8+","1037546","UPT-ROOKSBY","Upton Rowing Club","","",
"125164","Op MasE 8+","1035212","WAR-MORDAUNT","Warwick Boat Club","","",
"125164","Op MasE 8+","1037395","WLT-EVERINGTON","Walton Rowing Club","","",
"125164","Op MasE 8+","1038114","WLT-GILLESPIE","Walton Rowing Club","","",
"125165","Op MasF 8+","1036597","BRD-HOTCHIN","Bradford Amateur Rowing Club","","",
