"Event ID","Event Identity","Number Of Rowers","Sculling Status","Coxed Status","Event Gender","Event Type","Age Restriction","Sub Category","Event Info","Notes","Fee","Override Name","Previous Event ID",
"125160","MasA.8+","18","N","Y","Open","Master","27","MasA","","","92","Op MasA 8+","",
"125161","MasB.8+","72","N","Y","Open","Master","36","MasB","","","92","Op MasB 8+","",
"125162","MasC.8+","144","N","Y","Open","Master","43","MasC","","","92","Op MasC 8+","",
"125163","MasD.8+","189","N","Y","Open","Master","50","MasD","","","92","Op MasD 8+","",
"125164","MasE.8+","261","N","Y","Open","Master","55","MasE","","","92","Op MasE 8+","",
"125165","MasF.8+","144","N","Y","Open","Master","60","MasF","","","92","Op MasF 8+","",
"125166","MasG.8+","72","N","Y","Open","Master","65","MasG","","","92","Op MasG 8+","",
"125167","MasH.8+","36","N","Y","Open","Master","70","MasH","","","92","Op MasH 8+","",
"125168","MasI.8+","0","N","Y","Open","Master","75","MasI","","","92","Op MasI 8+","",
"125169","MasJ.8+","0","N","Y","Open","Master","80","MasJ","","","92","Op MasJ 8+","",
"125170","MasK.8+","0","N","Y","Open","Master","85","MasK","","","92","Op MasK 8+","",
"125171","MasA.8x+","0","Y","Y","Open","Master","27","MasA","","","92","Op MasA 8x+","",
"125172","MasA.4x-","0","Y","N","Open","Master","27","MasA","","","46","Op MasA 4x-","",
"125173","MasB.4x-","4","Y","N","Open","Master","36","MasB","","","46","Op MasB 4x-","",
"125174","MasC.4x-","4","Y","N","Open","Master","43","MasC","","","46","Op MasC 4x-","",
"125175","MasD.4x-","4","Y","N","Open","Master","50","MasD","","","46","Op MasD 4x-","",
"125176","MasE.4x-","0","Y","N","Open","Master","55","MasE","","","46","Op MasE 4x-","",
"125177","MasF.4x-","0","Y","N","Open","Master","60","MasF","","","46","Op MasF 4x-","",
"125178","MasG.4x-","4","Y","N","Open","Master","65","MasG","","","46","Op MasG 4x-","",
"125179","MasH.4x-","4","Y","N","Open","Master","70","MasH","","","46","Op MasH 4x-","",
"125180","MasI.4x-","0","Y","N","Open","Master","75","MasI","","","46","Op MasI 4x-","",
"125181","MasJ.4x-","0","Y","N","Open","Master","80","MasJ","","","46","Op MasJ 4x-","",
"125182","MasK.4x-","0","Y","N","Open","Master","85","MasK","","","46","Op MasK 4x-","",
"125183","W.MasA.8+","27","N","Y","Female","Master","27","MasA","","","92","W MasA 8+","",
"125184","W.MasB.8+","72","N","Y","Female","Master","36","MasB","","","92","W MasB 8+","",
"125185","W.MasC.8+","162","N","Y","Female","Master","43","MasC","","","92","W MasC 8+","",
"125186","W.MasD.8+","90","N","Y","Female","Master","50","MasD","","","92","W MasD 8+","",
"125187","W.MasE.8+","99","N","Y","Female","Master","55","MasE","","","92","W MasE 8+","",
"125188","W.MasF.8+","9","N","Y","Female","Master","60","MasF","","","92","W MasF 8+","",
"125189","W.MasG.8+","0","N","Y","Female","Master","65","MasG","","","92","W MasG 8+","",
"125190","W.MasH.8+","0","N","Y","Female","Master","70","MasH","","","92","W MasH 8+","",
"125191","W.MasI.8+","0","N","Y","Female","Master","75","MasI","","","92","W MasI 8+","",
"125192","W.MasJ.8+","0","N","Y","Female","Master","80","MasJ","","","92","W MasJ 8+","",
"125193","W.MasK.8+","0","N","Y","Female","Master","85","MasK","","","92","W MasK 8+","",
"125194","W.MasA.8x+","0","Y","Y","Female","Master","27","MasA","","","92","W MasA 8x+","",
"125195","W.MasA.4x-","4","Y","N","Female","Master","27","MasA","","","46","W MasA 4x-","",
"125196","W.MasB.4x-","0","Y","N","Female","Master","36","MasB","","","46","W MasB 4x-","",
"125197","W.MasC.4x-","20","Y","N","Female","Master","43","MasC","","","46","W MasC 4x-","",
"125198","W.MasD.4x-","0","Y","N","Female","Master","50","MasD","","","46","W MasD 4x-","",
"125199","W.MasE.4x-","4","Y","N","Female","Master","55","MasE","","","46","W MasE 4x-","",
"125200","W.MasF.4x-","0","Y","N","Female","Master","60","MasF","","","46","W MasF 4x-","",
"125201","W.MasG.4x-","0","Y","N","Female","Master","65","MasG","","","46","W MasG 4x-","",
"125202","W.MasH.4x-","0","Y","N","Female","Master","70","MasH","","","46","W MasH 4x-","",
"125203","W.MasI.4x-","0","Y","N","Female","Master","75","MasI","","","46","W MasI 4x-","",
"125204","W.MasJ.4x-","0","Y","N","Female","Master","80","MasJ","","","46","W MasJ 4x-","",
"125205","W.MasK.4x-","0","Y","N","Female","Master","85","MasK","","","46","W MasK 4x-","",
"125206","Mx.MasA.8+","18","N","Y","Mixed","Master","27","MasA","","","92","Mx MasA 8+","",
"125207","Mx.MasB.8+","36","N","Y","Mixed","Master","36","MasB","","","92","Mx MasB 8+","",
"125208","Mx.MasC.8+","0","N","Y","Mixed","Master","43","MasC","","","92","Mx MasC 8+","",
"125209","Mx.MasD.8+","72","N","Y","Mixed","Master","50","MasD","","","92","Mx MasD 8+","",
"125210","Mx.MasE.8+","27","N","Y","Mixed","Master","55","MasE","","","92","Mx MasE 8+","",
"125211","Mx.MasF.8+","9","N","Y","Mixed","Master","60","MasF","","","92","Mx MasF 8+","",
"125212","Mx.MasG.8+","0","N","Y","Mixed","Master","65","MasG","","","92","Mx MasG 8+","",
"125213","Mx.MasH.8+","0","N","Y","Mixed","Master","70","MasH","","","92","Mx MasH 8+","",
"125214","Mx.MasI.8+","0","N","Y","Mixed","Master","75","MasI","","","92","Mx MasI 8+","",
"125215","Mx.MasJ.8+","0","N","Y","Mixed","Master","80","MasJ","","","92","Mx MasJ 8+","",
"125216","Mx.MasK.8+","0","N","Y","Mixed","Master","85","MasK","","","92","Mx MasK 8+","",
"125217","Mx.MasA.8x+","0","Y","Y","Mixed","Master","27","MasA","","","92","Mx MasA 8x+","",
"125218","Mx.MasA.4x-","0","Y","N","Mixed","Master","27","MasA","","","46","Mx MasA 4x-","",
"125219","Mx.MasB.4x-","0","Y","N","Mixed","Master","36","MasB","","","46","Mx MasB 4x-","",
"125220","Mx.MasC.4x-","0","Y","N","Mixed","Master","43","MasC","","","46","Mx MasC 4x-","",
"125221","Mx.MasD.4x-","0","Y","N","Mixed","Master","50","MasD","","","46","Mx MasD 4x-","",
"125222","Mx.MasE.4x-","0","Y","N","Mixed","Master","55","MasE","","","46","Mx MasE 4x-","",
"125223","Mx.MasF.4x-","0","Y","N","Mixed","Master","60","MasF","","","46","Mx MasF 4x-","",
"125224","Mx.MasG.4x-","0","Y","N","Mixed","Master","65","MasG","","","46","Mx MasG 4x-","",
"125225","Mx.MasH.4x-","0","Y","N","Mixed","Master","70","MasH","","","46","Mx MasH 4x-","",
"125226","Mx.MasI.4x-","0","Y","N","Mixed","Master","75","MasI","","","46","Mx MasI 4x-","",
"125227","Mx.MasJ.4x-","0","Y","N","Mixed","Master","80","MasJ","","","46","Mx MasJ 4x-","",
"125228","Mx.MasK.4x-","0","Y","N","Mixed","Master","85","MasK","","","46","Mx MasK 4x-","",
"125229","8+","27","N","Y","Open","Senior","0","","","There will be two open events for each gender - a 'novice' band, likely to be under 20 PRI (for the whole boat) and a single event greater than 20. ","92","Op 8+","",
"125230","W.8+","18","N","Y","Female","Senior","0","","","There will be two open events for each gender - a 'novice' band, likely to be under 20 PRI (for the whole boat) and a single event greater than 20. ","92","W 8+","",
"125231","Mx.8+","0","N","Y","Mixed","Senior","0","","","There will be two open events for each gender - a 'novice' band, likely to be under 20 PRI (for the whole boat) and a single event greater than 20. ","92","Mx 8+","",
