"Crew ID","Crew Name","Event ID","Event Identity","Actual Masters Crew Category","Composite","Composite Code","Submitting Club","Submitting Club Index",
"1038116","TRC-LESTER","125160","MasA.8+","A","N","","Thames Rowing Club","TRC",
"1038415","AZS AWF","125160","MasA.8+","B","N","","AZS AWF Warszawa - Poland","ZAB",
"1035910","Aviron Toulousain","125161","MasB.8+","B","N","","Aviron Toulousain","ZAT",
"1036654","LYM-DAVIES","125161","MasB.8+","B","N","","Lymington Amateur Rowing Club","LYM",
"1037099","CUR-STEWART","125161","MasB.8+","B","N","","Curlew Rowing Club","CUR",
"1037574","CUR-PETIT","125161","MasB.8+","B","N","","Curlew Rowing Club","CUR",
"1037736","MON-MORGAN","125161","MasB.8+","B","N","","Monmouth Rowing Club","MON",
"1037875","Senior Men","125161","MasB.8+","C","N","","Henley Rowing Club","HEN",
"1037881","MBC-Gillard","125161","MasB.8+","C","N","","Molesey Boat Club","MBC",
"1038063","TSS - A. Smith","125161","MasB.8+","B","N","","Tideway Scullers School","TSS",
"1035902","CAB-POACHERS","125162","MasC.8+","C","N","","Cantabrigian Rowing Club","CAB",
"1036221","CBR-SPINK","125162","MasC.8+","C","N","","Bristol, City of, Rowing Club","CBR",
"1036275","UTC-SHIMMIN","125162","MasC.8+","C","N","","Upper Thames Rowing Club","UTC",
"1036424","Rameurs toulousains","125162","MasC.8+","C","N","","Aviron Toulousain","ZAT",
"1036475","KRC-WHEATON","125162","MasC.8+","C","N","","Kingston Rowing Club","KRC",
"1036702","TRF-THOMPSON","125162","MasC.8+","C","N","","Trafford Rowing Club","TRF",
"1037090","MAR-MOON","125162","MasC.8+","C","N","","Marlow Rowing Club","MAR",
"1037103","AGE-MORGAN","125162","MasC.8+","C","N","","Agecroft Rowing Club","AGE",
"1037252","BED-WALSH","125162","MasC.8+","C","N","","Bedford Rowing Club","BED",
"1037440","LEA-RICHARDSON","125162","MasC.8+","C","N","","Lea Rowing Club","LEA",
"1037545","LRC-VAN TIEL","125162","MasC.8+","C","N","","London Rowing Club","LRC",
"1037673","CRB-PARISH","125162","MasC.8+","C","N","","Crabtree Boat Club","CRB",
"1037845","CAM-WARE","125162","MasC.8+","C","N","","City of Cambridge Rowing Club","CAM",
"1038012","MBC-Bellamy","125162","MasC.8+","C","N","","Molesey Boat Club","MBC",
"1038161","ABD-GARDNER","125162","MasC.8+","C","N","","Aberdeen Boat Club","ABD",
"1038207","Máistrí na hÉireann","125162","MasC.8+","C","Y","ZCR/ZIN/ZGY/ZLE/ZSN/ZCK","Commercial Rowing Club, IRE","ZCR",
"1035413","MHD - Scott","125163","MasD.8+","D","N","","Maidenhead Rowing Club","MHD",
"1035455","UTC-JACOBS","125163","MasD.8+","D","Y","UTC/HEN","Upper Thames Rowing Club","UTC",
"1035467","Hen - Berrington","125163","MasD.8+","E","N","","Henley Rowing Club","HEN",
"1035880","CAB-AQUAPHOBES","125163","MasD.8+","D","N","","Cantabrigian Rowing Club","CAB",
"1035968","ZAT sadran aviron bayonnais","125163","MasD.8+","D","N","","Aviron Toulousain","ZAT",
"1036212","STA-SOGAN","125163","MasD.8+","D","Y","STA/BED","Star Club","STA",
"1036791","CC3P Giulio","125163","MasD.8+","E","N","","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","ZCO",
"1037088","MAR-FURNESS","125163","MasD.8+","D","N","","Marlow Rowing Club","MAR",
"1037173","TKC-VALDINI","125163","MasD.8+","D","N","","Team Keane Sculling School","TKC",
"1037248","BED-Chillingsworth","125163","MasD.8+","D","N","","Bedford Rowing Club","BED",
"1037666","TRC-TUNNAH","125163","MasD.8+","D","N","","Thames Rowing Club","TRC",
"1037731","Kirtland","125163","MasD.8+","D","N","","Marlow Rowing Club","MAR",
"1037840","WEY-THOMAS","125163","MasD.8+","D","N","","Weybridge Rowing Club","WEY",
"1037942","SON-MACLACHLAN","125163","MasD.8+","D","N","","Sons of the Thames Rowing Club","SON",
"1037994","PET-BAILE","125163","MasD.8+","D","N","","Peterborough City Rowing Club","PET",
"1038007","TYN-ROUTLEDGE","125163","MasD.8+","D","N","","Tyne Amateur Rowing Club","TYN",
"1038008","TYN-HUNTER","125163","MasD.8+","D","N","","Tyne Amateur Rowing Club","TYN",
"1038021","CAB-HUNTERS","125163","MasD.8+","D","N","","Cantabrigian Rowing Club","CAB",
"1038090","LRC-LEPPARD","125163","MasD.8+","E","Y","LRC/VRC","London Rowing Club","LRC",
"1038163","DAT-SPEED","125163","MasD.8+","D","N","","Dart-Totnes Amateur Rowing Club","DAT",
"1038760","MAV-CHAPMAN","125163","MasD.8+","D","N","","Maidstone Invicta Rowing Club","MAV",
"1035212","WAR-MORDAUNT","125164","MasE.8+","E","N","","Warwick Boat Club","WAR",
"1035415","MHD-STEEL","125164","MasE.8+","E","N","","Maidenhead Rowing Club","MHD",
"1035454","GLR-VENN","125164","MasE.8+","E","N","","Gloucester Rowing Club","GLR",
"1035616","ABN-TROUP","125164","MasE.8+","E","N","","Abingdon Rowing Club","ABN",
"1036139","ARV 508","125164","MasE.8+","F","N","","Akademische Ruderverbindung ""Westfalen""","ZWF",
"1036211","STA-HUNT","125164","MasE.8+","E","N","","Star Club","STA",
"1036432","Carpenter","125164","MasE.8+","E","N","","Thames Tradesmen's Rowing Club","TTR",
"1036473","KRC-WORTHINGTON","125164","MasE.8+","E","N","","Kingston Rowing Club","KRC",
"1036575","PET-RYDER","125164","MasE.8+","E","N","","Peterborough City Rowing Club","PET",
"1036759","Mon-Barnett","125164","MasE.8+","E","N","","Monmouth Rowing Club","MON",
"1036845","SRC-ADAMS","125164","MasE.8+","E","N","","Sudbury Rowing Club","SRC",
"1036857","CYG-WHELDAL","125164","MasE.8+","E","N","","Cygnet Rowing Club","CYG",
"1037074","RG Benrath","125164","MasE.8+","E","N","","Rg Benrath","ZBT",
"1037087","MAR-KENT","125164","MasE.8+","E","N","","Marlow Rowing Club","MAR",
"1037258","GRO - Bancroft","125164","MasE.8+","E","N","","Grosvenor Rowing Club, Chester","GRO",
"1037323","SHO-BAILEY","125164","MasE.8+","E","Y","SHO/BNT","Shoreham Rowing Club","SHO",
"1037395","WLT-EVERINGTON","125164","MasE.8+","E","N","","Walton Rowing Club","WLT",
"1037433","DSR Veterans","125164","MasE.8+","E","N","","Danske Studenters Roklub","ZDS",
"1037546","UPT-ROOKSBY","125164","MasE.8+","E","N","","Upton Rowing Club","UPT",
"1037547","LRC-HARRIS","125164","MasE.8+","E","N","","London Rowing Club","LRC",
"1037743","Bar Flies","125164","MasE.8+","E","N","","Quintin Boat Club","QBC",
"1037763","RCH-STEPHENS","125164","MasE.8+","E","N","","Royal Chester Rowing Club","RCH",
"1037839","REX-Menzies","125164","MasE.8+","E","N","","Rex Boat Club","REX",
"1037890","MBC-BOWMAN","125164","MasE.8+","E","N","","Molesey Boat Club","MBC",
"1038100","Hosking luggers","125164","MasE.8+","E","N","","Broxbourne Rowing Club","BRX",
"1038114","WLT-GILLESPIE","125164","MasE.8+","E","N","","Walton Rowing Club","WLT",
"1038479","ARD-BANKS","125164","MasE.8+","E","N","","Ardingly Rowing Club","ARD",
"1035643","Dreadnoughts","125165","MasF.8+","F","N","","Champion Of The Thames (Cambridge) RC","CHA",
"1035772","WALDSHUT WV","125165","MasF.8+","F","N","","Wassersportverein Waldshut","ZWV",
"1036099","ZAZ-SCHIAVELLO","125165","MasF.8+","F","N","","Idroscalo Club ASD - Italy","ZAZ",
"1036307","QBC-LONERGAN","125165","MasF.8+","F","N","","Quintin Boat Club","QBC",
"1036597","BRD-HOTCHIN","125165","MasF.8+","F","N","","Bradford Amateur Rowing Club","BRD",
"1036958","GUI-MANSFIELD","125165","MasF.8+","F","N","","Guildford Rowing Club","GUI",
"1036993","PTR-DESMOND","125165","MasF.8+","F","N","","Putney Town Rowing Club","PTR",
"1036994","PTR-GREEN","125165","MasF.8+","F","N","","Putney Town Rowing Club","PTR",
"1037674","CRB-DE SOUZA","125165","MasF.8+","F","N","","Crabtree Boat Club","CRB",
"1037732","Thomas","125165","MasF.8+","F","N","","Marlow Rowing Club","MAR",
"1037989","Christ's College Crustaceans","125165","MasF.8+","F","N","","Christs College Boat Club","CCO",
"1038099","Lummers delight","125165","MasF.8+","F","N","","Broxbourne Rowing Club","BRX",
"1038384","NRC-WILLIAMSON","125165","MasF.8+","F","N","","Nottingham Rowing Club","NRC",
"1038416","TWK - Davidson","125165","MasF.8+","F","N","","Twickenham Rowing Club","TWK",
"1038724","CRB-DAWS","125165","MasF.8+","F","N","","Crabtree Boat Club","CRB",
"1038761","MAV-RICKWOOD","125165","MasF.8+","F","N","","Maidstone Invicta Rowing Club","MAV",
"1036386","QBC-HYSLOP","125166","MasG.8+","G","N","","Quintin Boat Club","QBC",
"1037742","ZDH-SILLEM","125166","MasG.8+","G","Y","ZDH/TRC","Koninklijke Amsterdamsche Rzv De Hoop","ZDH",
"1038075","ABN-WILLIAMS","125166","MasG.8+","G","N","","Abingdon Rowing Club","ABN",
"1038164","DAT-STEWART","125166","MasG.8+","G","N","","Dart-Totnes Amateur Rowing Club","DAT",
"1038321","TSS-WATTS","125166","MasG.8+","G","N","","Tideway Scullers School","TSS",
"1038447","UTRC Howell","125166","MasG.8+","G","N","","Upper Thames Rowing Club","UTC",
"1038485","LRC-CARRE","125166","MasG.8+","G","N","","London Rowing Club","LRC",
"1038730","TEVERE REMO","125166","MasG.8+","G","N","","Reale Circolo Canottieri Tevere Remo","ZTR",
"1035390","PGN-HAYTON","125167","MasH.8+","H","N","","Pengwern Boat Club","PGN",
"1035825","ZOZ-HANSEN","125167","MasH.8+","H","N","","Old Zealanders Denmark","ZOZ",
"1036905","WEY-HUDSON","125167","MasH.8+","H","N","","Weybridge Rowing Club","WEY",
"1037682","BOA-Manson","125167","MasH.8+","H","N","","Bradford on Avon Rowing Club","BOA",
"1038122","STA/PET/LEI/UTC-COMPOSITE","125173","MasB.4x-","B","Y","STA/LER/PET/UTC","Star Club","STA",
"1038537","PTR-BENTON","125174","MasC.4x-","C","N","","Putney Town Rowing Club","PTR",
"1038252","GRO-HOWARD","125175","MasD.4x-","E","N","","Grosvenor Rowing Club, Chester","GRO",
"1038444","MAA G4x- Harvey","125178","MasG.4x-","G","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1038446","MAA/BB H4x- Hoile","125179","MasH.4x-","H","Y","MAA/BEB","Mortlake Anglian & Alpha Boat Club","MAA",
"1035462","BRI-FLAVELL","125183","W.MasA.8+","A","N","","Bridgnorth Rowing Club","BRI",
"1037639","VRC-LENNOX","125183","W.MasA.8+","A","N","","Vesta Rowing Club","VRC",
"1038390","AGE-MILLER","125183","W.MasA.8+","A","N","","Agecroft Rowing Club","AGE",
"1036427","TRC-CHICHESTER","125184","W.MasB.8+","B","N","","Thames Rowing Club","TRC",
"1037221","QBC/TSS/MAA/KRC/LRC","125184","W.MasB.8+","B","Y","QBC/TSS/KRC/LRC/MAA","Quintin Boat Club","QBC",
"1037318","UTC-BROOKS","125184","W.MasB.8+","B","N","","Upper Thames Rowing Club","UTC",
"1037450","GLR-Hayes","125184","W.MasB.8+","C","N","","Gloucester Rowing Club","GLR",
"1037745","PET-APOSTOLIDOU","125184","W.MasB.8+","B","Y","PET/LCN","Peterborough City Rowing Club","PET",
"1038121","LLA-BRACE","125184","W.MasB.8+","B","N","","Llandaff Rowing Club","LLA",
"1038370","PTR-HUNT","125184","W.MasB.8+","B","N","","Putney Town Rowing Club","PTR",
"1038741","LEA-CHAPMAN","125184","W.MasB.8+","B","N","","Lea Rowing Club","LEA",
"1035403","AVN-TUCK","125185","W.MasC.8+","C","N","","Avon County Rowing Club","AVN",
"1035802","WRC-TOSE","125185","W.MasC.8+","D","N","","Wallingford Rowing Club","WRC",
"1036375","MIN-COOKE","125185","W.MasC.8+","C","N","","Minerva Bath Rowing Club","MIN",
"1036385","MIK-WILSON","125185","W.MasC.8+","C","N","","Milton Keynes Rowing Club","MIK",
"1036703","TRF-HAMER","125185","W.MasC.8+","C","N","","Trafford Rowing Club","TRF",
"1036781","BRX-LAIRD","125185","W.MasC.8+","C","N","","Broxbourne Rowing Club","BRX",
"1037606","TKC-MAURY","125185","W.MasC.8+","C","Y","TKC/SON","Team Keane Sculling School","TKC",
"1037746","PET-RICHARDSON","125185","W.MasC.8+","C","N","","Peterborough City Rowing Club","PET",
"1038162","MAR-KNILL","125185","W.MasC.8+","C","N","","Marlow Rowing Club","MAR",
"1038165","DAT-JENNINGS","125185","W.MasC.8+","C","N","","Dart-Totnes Amateur Rowing Club","DAT",
"1038225","FSC-SNEWIN","125185","W.MasC.8+","C","N","","Furnivall Sculling Club","FSC",
"1038323","Ardingly/Kingston","125185","W.MasC.8+","C","Y","ARD/KRC/LRC","Ardingly Rowing Club","ARD",
"1038502","LEA-KING","125185","W.MasC.8+","C","N","","Lea Rowing Club","LEA",
"1038632","BBL-A","125185","W.MasC.8+","C","N","","Barnes Bridge Ladies Rowing Club","BBL",
"1038725","CHR-PERCIVAL FOY","125185","W.MasC.8+","C","N","","Christchurch Rowing Club","CHR",
"1038757","PTR-MERCER","125185","W.MasC.8+","C","N","","Putney Town Rowing Club","PTR",
"1035773","Northern Virginia Rowing Club (NVRC)","125186","W.MasD.8+","D","N","","Northern Virginia Rowing Club","ZNV",
"1035803","WRC-CASEY","125186","W.MasD.8+","D","N","","Wallingford Rowing Club","WRC",
"1036379","HEN-TURNELL","125186","W.MasD.8+","D","N","","Henley Rowing Club","HEN",
"1036789","CC3P Ette","125186","W.MasD.8+","D","N","","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","ZCO",
"1036795","WLT-GUINIVEN","125186","W.MasD.8+","D","N","","Walton Rowing Club","WLT",
"1037317","GRC/RCRC Composite","125186","W.MasD.8+","D","N","","Grosvenor Rowing Club, Chester","GRO",
"1037668","Belvoir Ladies","125186","W.MasD.8+","D","Y","ZBV/CAM","Belvoir Ruderclub Zuerich","ZBV",
"1037876","TSS-AL-JANABI","125186","W.MasD.8+","D","N","","Tideway Scullers School","TSS",
"1037891","MON-TOD","125186","W.MasD.8+","D","N","","Monmouth Rowing Club","MON",
"1038129","TSS-PRIMMER","125186","W.MasD.8+","D","Y","TSS/SPG","Tideway Scullers School","TSS",
"1035587","CHA-LAWRENCE","125187","W.MasE.8+","E","N","","Champion Of The Thames (Cambridge) RC","CHA",
"1035656","Fredensborg / DSR/ LDR","125187","W.MasE.8+","E","N","","Fredensborg RC","ZFR",
"1035923","ZOK-SCHULKE","125187","W.MasE.8+","E","Y","ZOK/ZPN/ZVA/ZWR/ZZH","Ruderclub Union Schoenebeck 1861","ZOK",
"1036790","CC3P Manu","125187","W.MasE.8+","E","N","","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","ZCO",
"1036832","WEY-BRADY","125187","W.MasE.8+","E","N","","Weybridge Rowing Club","WEY",
"1037135","LEA-FRANCHI","125187","W.MasE.8+","E","N","","Lea Rowing Club","LEA",
"1037773","DUR-LUND","125187","W.MasE.8+","E","N","","Durham Amateur Rowing Club","DUR",
"1037830","Thames composite","125187","W.MasE.8+","E","Y","MAA/BBL/UTC/TRC/ZFR","Mortlake Anglian & Alpha Boat Club","MAA",
"1037892","MON-SMITH","125187","W.MasE.8+","E","N","","Monmouth Rowing Club","MON",
"1038085","MAR-FORD","125187","W.MasE.8+","E","N","","Marlow Rowing Club","MAR",
"1038086","MAR-ROWE","125188","W.MasF.8+","F","N","","Marlow Rowing Club","MAR",
"1038558","WAR-HURLEY","125195","W.MasA.4x-","A","N","","Warwick Boat Club","WAR",
"1038087","MAR-PARKER","125197","W.MasC.4x-","C","N","","Marlow Rowing Club","MAR",
"1038257","TWK-BARNES","125197","W.MasC.4x-","C","N","","Twickenham Rowing Club","TWK",
"1038413","ETX-JOHNSON","125197","W.MasC.4x-","C","N","","Eton Excelsior Rowing Club","ETX",
"1038501","LEA-NICKERSON","125197","W.MasC.4x-","C","N","","Lea Rowing Club","LEA",
"1038758","PTR-SHEPHERD","125197","W.MasC.4x-","C","N","","Putney Town Rowing Club","PTR",
"1038256","TWK-FADLON","125199","W.MasE.4x-","E","N","","Twickenham Rowing Club","TWK",
"1038224","FSC-GRAEDEL IBERG","125206","Mx.MasA.8+","A","N","","Furnivall Sculling Club","FSC",
"1038723","Griffen Mixed Composite","125206","Mx.MasA.8+","A","Y","GRI/WRC/CAB/ABN/RDG/TNT","Griffen, The, Boat Club","GRI",
"1036583","SHO-SAUNDERS","125207","Mx.MasB.8+","B","N","","Shoreham Rowing Club","SHO",
"1038369","EXE-JACOBS","125207","Mx.MasB.8+","B","N","","Exeter Rowing Club Ltd","EXE",
"1038486","LRC-WALSH","125207","Mx.MasB.8+","B","N","","London Rowing Club","LRC",
"1038735","Can Boada rowing team","125207","Mx.MasB.8+","B","N","","Club Natacio Banyoles","ZOJ",
"1035340","MIN-SEWELL","125209","Mx.MasD.8+","D","N","","Minerva Bath Rowing Club","MIN",
"1035584","AVN-THORNTON","125209","Mx.MasD.8+","D","N","","Avon County Rowing Club","AVN",
"1036800","WLT-JACKSON","125209","Mx.MasD.8+","D","N","","Walton Rowing Club","WLT",
"1036900","CSW-BRACE","125209","Mx.MasD.8+","D","N","","City of Swansea Rowing Club","CSW",
"1038084","LRC","125209","Mx.MasD.8+","D","N","","Lincoln Rowing Centre","LCN",
"1038631","ANC-MACLEOD","125209","Mx.MasD.8+","D","N","","Ancholme Rowing Club","ANC",
"1038644","Royal Air Force","125209","Mx.MasD.8+","D","Y","RAF/NWK","Royal Air Force Rowing Club","RAF",
"1035449","PGN-PRICE-OWEN","125210","Mx.MasE.8+","E","N","","Pengwern Boat Club","PGN",
"1037352","HIL-MARSHALL","125210","Mx.MasE.8+","E","N","","Hillingdon Rowing Club","HIL",
"1037838","BRD-HICKSON","125210","Mx.MasE.8+","E","N","","Bradford Amateur Rowing Club","BRD",
"1037758","BRD-MYERS","125211","Mx.MasF.8+","F","N","","Bradford Amateur Rowing Club","BRD",
