"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group",
"1038224","125206","Mx.MasA.8+","Mx MasA 8+","","FSC","Furnivall Sculling Club","FSC-GRAEDEL IBERG","Submitted","N","","","","","","","One of: Finished, Did Not Start, Did Not Finish, Time Only, Disqualified","808","1187","414","676","181","181","","",
"1038723","125206","Mx.MasA.8+","Mx MasA 8+","","GRI","Griffen, The, Boat Club","Griffen Mixed Composite","Accepted","Y","GRI/WRC/CAB/ABN/RDG/TNT","","","","","","","992","1819","764","923","271","361","","",
"1036583","125207","Mx.MasB.8+","Mx MasB 8+","","SHO","Shoreham Rowing Club","SHO-SAUNDERS","Accepted","N","","","","","","","","510","1442","328","614","71","142","","",
"1038369","125207","Mx.MasB.8+","Mx MasB 8+","","EXE","Exeter Rowing Club Ltd","EXE-JACOBS","Accepted","N","","","","","","","","535","2930","1424","1604","394","394","","",
"1038486","125207","Mx.MasB.8+","Mx MasB 8+","","LRC","London Rowing Club","LRC-WALSH","Accepted","N","","","","","","","","1052","1460","587","714","473","541","","",
"1038735","125207","Mx.MasB.8+","Mx MasB 8+","","ZOJ","Club Natacio Banyoles","Can Boada rowing team","Submitted","N","","B","","","","","","0","0","0","0","0","0","","",
"1035340","125209","Mx.MasD.8+","Mx MasD 8+","","MIN","Minerva Bath Rowing Club","MIN-SEWELL","Submitted","N","","","","","","","","176","222","17","42","67","67","","",
"1035584","125209","Mx.MasD.8+","Mx MasD 8+","","AVN","Avon County Rowing Club","AVN-THORNTON","Accepted","N","","","","","","","","634","641","132","168","0","0","","",
"1036800","125209","Mx.MasD.8+","Mx MasD 8+","","WLT","Walton Rowing Club","WLT-JACKSON","Accepted","N","","","","","","","","1092","2443","1165","1513","32","63","","",
"1036900","125209","Mx.MasD.8+","Mx MasD 8+","","CSW","City of Swansea Rowing Club","CSW-BRACE","Accepted","N","","","","","","","","43","123","30","54","0","0","","",
"1038084","125209","Mx.MasD.8+","Mx MasD 8+","","LCN","Lincoln Rowing Centre","LRC","Submitted","N","","","","","","","","236","245","27","52","16","16","","",
"1038631","125209","Mx.MasD.8+","Mx MasD 8+","","ANC","Ancholme Rowing Club","ANC-MACLEOD","Accepted","N","","","","","","","","70","72","78","182","11","11","","",
"1038644","125209","Mx.MasD.8+","Mx MasD 8+","","RAF","Royal Air Force Rowing Club","Royal Air Force","Accepted","Y","RAF/NWK","","","","","","","316","516","261","293","45","45","","",
"1035449","125210","Mx.MasE.8+","Mx MasE 8+","","PGN","Pengwern Boat Club","PGN-PRICE-OWEN","Accepted","N","","","","","","","","209","213","58","128","27","27","","",
"1037352","125210","Mx.MasE.8+","Mx MasE 8+","","HIL","Hillingdon Rowing Club","HIL-MARSHALL","Submitted","N","","","","","","","","48","110","34","60","3","8","","",
"1037838","125210","Mx.MasE.8+","Mx MasE 8+","","BRD","Bradford Amateur Rowing Club","BRD-HICKSON","Accepted","N","","","","","","","","43","46","28","33","2","7","","",
"1037758","125211","Mx.MasF.8+","Mx MasF 8+","","BRD","Bradford Amateur Rowing Club","BRD-MYERS","Accepted","N","","","","","","","","89","94","146","158","93","93","","",
"1036856","125229","8+","Op 8+","","CYG","Cygnet Rowing Club","CYG-BAILEY","Submitted","N","","","","","","","","23","156","0","0","0","0","","",
"1037849","125229","8+","Op 8+","","VRC","Vesta Rowing Club","VRC-ESDAILE","Accepted","N","","","","","","","","18","144","0","0","76","102","","",
"1037850","125229","8+","Op 8+","","VRC","Vesta Rowing Club","VRC-BOTTOMLY","Accepted","N","","","","","","","","214","588","9","14","39","104","","",
"1038116","125160","MasA.8+","Op MasA 8+","","TRC","Thames Rowing Club","TRC-LESTER","Accepted","N","","A","","","","","","3548","5279","426","2279","676","676","","",
"1038415","125160","MasA.8+","Op MasA 8+","","ZAB","AZS AWF Warszawa - Poland","AZS AWF","Submitted","N","","","","","","","","197","844","0","0","11","88","","",
"1038122","125173","MasB.4x-","Op MasB 4x-","","STA","Star Club","STA/PET/LEI/UTC-COMPOSITE","Accepted","Y","STA/LER/PET/UTC","A","","","","","","61","163","2045","2045","0","0","","",
"1035910","125161","MasB.8+","Op MasB 8+","","ZAT","Aviron Toulousain","Aviron Toulousain","Accepted","N","","","","","","","","37","296","0","0","0","0","","",
"1036654","125161","MasB.8+","Op MasB 8+","","LYM","Lymington Amateur Rowing Club","LYM-DAVIES","Submitted","N","","A","","","","","","754","2000","30","240","68","544","","",
"1037099","125161","MasB.8+","Op MasB 8+","","CUR","Curlew Rowing Club","CUR-STEWART","Accepted","N","","","","","","","","997","1148","91","516","295","295","","",
"1037574","125161","MasB.8+","Op MasB 8+","","CUR","Curlew Rowing Club","CUR-PETIT","Accepted","N","","","","","","","","70","156","0","0","31","31","","",
"1037736","125161","MasB.8+","Op MasB 8+","","MON","Monmouth Rowing Club","MON-MORGAN","Accepted","N","","","","","","","","1832","2272","732","1583","375","375","","",
"1037875","125161","MasB.8+","Op MasB 8+","","HEN","Henley Rowing Club","Senior Men","Submitted","N","","A","","","","","","324","563","575","650","0","0","","",
"1037881","125161","MasB.8+","Op MasB 8+","","MBC","Molesey Boat Club","MBC-Gillard","Submitted","N","","","","","","","","1390","3680","725","2225","48","380","","",
"1038063","125161","MasB.8+","Op MasB 8+","","TSS","Tideway Scullers School","TSS - A. Smith","Submitted","N","","","","","","","","545","1107","1545","3132","677","677","","",
"1038537","125174","MasC.4x-","Op MasC 4x-","","PTR","Putney Town Rowing Club","PTR-BENTON","Submitted","N","","E","","","","","","687","739","726","840","0","0","","",
"1035902","125162","MasC.8+","Op MasC 8+","","CAB","Cantabrigian Rowing Club","CAB-POACHERS","Accepted","N","","B","","","","","","60","211","12","16","10","16","","",
"1036221","125162","MasC.8+","Op MasC 8+","","CBR","Bristol, City of, Rowing Club","CBR-SPINK","Accepted","N","","","","","","","","559","1194","283","485","20","23","","",
"1036275","125162","MasC.8+","Op MasC 8+","","UTC","Upper Thames Rowing Club","UTC-SHIMMIN","Accepted","N","","","","","","","","2353","2440","978","1115","38","152","","",
"1036424","125162","MasC.8+","Op MasC 8+","","ZAT","Aviron Toulousain","Rameurs toulousains","Accepted","N","","A","","","","","","136","1088","0","0","0","0","","",
"1036475","125162","MasC.8+","Op MasC 8+","","KRC","Kingston Rowing Club","KRC-WHEATON","Submitted","N","","","","","","","","410","593","456","800","0","0","","",
"1036702","125162","MasC.8+","Op MasC 8+","","TRF","Trafford Rowing Club","TRF-THOMPSON","Accepted","N","","","","","","","","326","620","5","34","53","61","","",
"1037090","125162","MasC.8+","Op MasC 8+","","MAR","Marlow Rowing Club","MAR-MOON","Submitted","N","","","","","","","","564","891","2","16","128","147","","",
"1037103","125162","MasC.8+","Op MasC 8+","","AGE","Agecroft Rowing Club","AGE-MORGAN","Accepted","N","","","","","","","","1265","1650","20","136","216","216","","",
"1037252","125162","MasC.8+","Op MasC 8+","","BED","Bedford Rowing Club","BED-WALSH","Accepted","N","","","","","","","","153","156","20","46","16","16","","",
"1037440","125162","MasC.8+","Op MasC 8+","","LEA","Lea Rowing Club","LEA-RICHARDSON","Accepted","N","","C","","","","","","582","644","190","329","58","58","","",
"1037545","125162","MasC.8+","Op MasC 8+","","LRC","London Rowing Club","LRC-VAN TIEL","Accepted","N","","","","","","","","2945","3790","224","485","171","171","","",
"1037673","125162","MasC.8+","Op MasC 8+","","CRB","Crabtree Boat Club","CRB-PARISH","Accepted","N","","","","","","","","1949","2598","80","636","0","0","","",
"1037845","125162","MasC.8+","Op MasC 8+","","CAM","City of Cambridge Rowing Club","CAM-WARE","Accepted","N","","","","","","","","1304","1557","0","0","191","191","","",
"1038012","125162","MasC.8+","Op MasC 8+","","MBC","Molesey Boat Club","MBC-Bellamy","Submitted","N","","","","","","","","1855","2675","1431","2015","155","177","","",
"1038161","125162","MasC.8+","Op MasC 8+","","ABD","Aberdeen Boat Club","ABD-GARDNER","Submitted","N","","","","","","","","0","0","0","0","0","0","","",
"1038207","125162","MasC.8+","Op MasC 8+","","ZCR","Commercial Rowing Club, IRE","Máistrí na hÉireann","Accepted","Y","ZCR/ZIN/ZGY/ZLE/ZSN/ZCK","","","","","","","338","2704","0","0","0","0","","",
"1038252","125175","MasD.4x-","Op MasD 4x-","","GRO","Grosvenor Rowing Club, Chester","GRO-HOWARD","Submitted","N","","","","","","","","124","128","40","97","0","0","","",
"1035413","125163","MasD.8+","Op MasD 8+","","MHD","Maidenhead Rowing Club","MHD - Scott","Accepted","N","","","","","","","","2048","2639","241","342","297","297","","",
"1035455","125163","MasD.8+","Op MasD 8+","","UTC","Upper Thames Rowing Club","UTC-JACOBS","Accepted","Y","UTC/HEN","","","","","","","2056","2070","237","667","201","201","","",
"1035467","125163","MasD.8+","Op MasD 8+","","HEN","Henley Rowing Club","Hen - Berrington","Submitted","N","","","","","","","","48","210","32","60","0","0","","",
"1035880","125163","MasD.8+","Op MasD 8+","","CAB","Cantabrigian Rowing Club","CAB-AQUAPHOBES","Accepted","N","","A","","","","","","37","225","12","16","0","0","","",
"1035968","125163","MasD.8+","Op MasD 8+","","ZAT","Aviron Toulousain","ZAT sadran aviron bayonnais","Accepted","N","","Z","","","","","","630","5040","0","0","126","1008","","",
"1036212","125163","MasD.8+","Op MasD 8+","","STA","Star Club","STA-SOGAN","Accepted","Y","STA/BED","","","","","","","366","466","250","306","25","67","","",
"1036791","125163","MasD.8+","Op MasD 8+","","ZCO","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","CC3P Giulio","Accepted","N","","","","","","","","9","72","0","0","8","64","","",
"1037088","125163","MasD.8+","Op MasD 8+","","MAR","Marlow Rowing Club","MAR-FURNESS","Submitted","N","","","","","","","","640","876","36","185","91","91","","",
"1037173","125163","MasD.8+","Op MasD 8+","","TKC","Team Keane Sculling School","TKC-VALDINI","Submitted","N","","A","","","","","","24","53","27","35","11","21","","",
"1037248","125163","MasD.8+","Op MasD 8+","","BED","Bedford Rowing Club","BED-Chillingsworth","Accepted","N","","","","","","","","113","115","8","19","14","14","","",
"1037666","125163","MasD.8+","Op MasD 8+","","TRC","Thames Rowing Club","TRC-TUNNAH","Accepted","N","","B","","","","","","836","1051","138","196","22","172","","",
"1037731","125163","MasD.8+","Op MasD 8+","","MAR","Marlow Rowing Club","Kirtland","Submitted","N","","A","","","","","","478","567","5","24","33","264","","",
"1037840","125163","MasD.8+","Op MasD 8+","","WEY","Weybridge Rowing Club","WEY-THOMAS","Accepted","N","","","","","","","","1096","1330","543","667","184","211","","",
