"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max","Baseline Coxing CRI","Baseline Coxing CRI Max",
"1038224","125206","Mx.MasA.8+","Mx MasA 8+","","FSC","Furnivall Sculling Club","FSC-GRAEDEL IBERG","Accepted","N","","B","","","","","One of: Finished, Did Not Start, Did Not Finish, Time Only, Disqualified","808","1187","414","676","181","181","","","808","1187","414","676","181","181",
"1038723","125206","Mx.MasA.8+","Mx MasA 8+","","GRI","Griffen, The, Boat Club","Griffen Mixed Composite","Accepted","Y","GRI/WRC/CAB/ABN/RDG/TNT","","","","","","","992","1819","764","923","271","361","","","992","1819","764","923","271","361",
"1038974","125206","Mx.MasA.8+","Mx MasA 8+","","AKN","Auriol Kensington Rowing Club","AKN-ZWAAGSTRA","Accepted","N","","A","","","","","","2813","2862","826","1410","184","184","","","2813","2862","826","1410","184","184",
"1039048","125219","Mx.MasB.4x-","Mx MasB 4x-","","PAR","Parr's Priory Rowing Club","PPRC Mixed Quad","Accepted","N","","A","","","","","","124","225","38","58","0","0","","","124","225","38","58","0","0",
"1036583","125207","Mx.MasB.8+","Mx MasB 8+","","SHO","Shoreham Rowing Club","SHO-SAUNDERS","Accepted","N","","","","","","","","510","1442","328","614","71","142","","","510","1442","328","614","71","142",
"1038369","125207","Mx.MasB.8+","Mx MasB 8+","","EXE","Exeter Rowing Club Ltd","EXE-JACOBS","Accepted","N","","","","","","","","535","2930","1424","1604","395","395","","","535","2930","1424","1604","395","395",
"1038486","125207","Mx.MasB.8+","Mx MasB 8+","","LRC","London Rowing Club","LRC-WALSH","Accepted","N","","","","","","","","1052","1460","587","714","473","541","","","1052","1460","587","714","473","541",
"1038735","125207","Mx.MasB.8+","Mx MasB 8+","","ZOJ","Club Natacio Banyoles","Can Boada rowing team","Accepted","N","","B","","","","","","0","0","0","0","0","0","","","0","0","0","0","0","0",
"1038820","125207","Mx.MasB.8+","Mx MasB 8+","","CSH","Sheffield, City Of, Rowing Club","CSH-BROWN","Accepted","N","","A","","","","","","867","881","27","76","19","76","","","867","881","27","76","32","32",
"1039092","125207","Mx.MasB.8+","Mx MasB 8+","","SON","Sons of the Thames Rowing Club","SON-THOMPSON","Accepted","N","","A","","","","","","1673","1945","46","183","367","367","","","1673","1945","46","183","45","52",
"1039045","125208","Mx.MasC.8+","Mx MasC 8+","","RDG","Reading Rowing Club","RDG-MONTAGUE","Accepted","N","","M","","","","","","192","216","0","0","2","6","","","192","216","0","0","2","6",
"1035340","125209","Mx.MasD.8+","Mx MasD 8+","","MIN","Minerva Bath Rowing Club","MIN-SEWELL","Accepted","N","","B","","","","","","176","222","17","42","67","67","","","176","222","17","42","67","67",
"1035584","125209","Mx.MasD.8+","Mx MasD 8+","","AVN","Avon County Rowing Club","AVN-THORNTON","Accepted","N","","","","","","","","634","641","132","168","9","18","","","634","641","132","168","0","0",
"1036800","125209","Mx.MasD.8+","Mx MasD 8+","","WLT","Walton Rowing Club","WLT-JACKSON","Accepted","N","","","","","","","","1092","2443","1165","1513","32","63","","","1092","2443","1165","1513","32","63",
"1036900","125209","Mx.MasD.8+","Mx MasD 8+","","CSW","City of Swansea Rowing Club","CSW-BRACE","Accepted","N","","A","","","","","","43","123","30","54","0","0","","","43","123","30","54","0","0",
"1038084","125209","Mx.MasD.8+","Mx MasD 8+","","LCN","Lincoln Rowing Centre","LRC","Accepted","N","","","","","","","","236","245","27","52","16","16","","","236","245","27","52","16","16",
"1038631","125209","Mx.MasD.8+","Mx MasD 8+","","ANC","Ancholme Rowing Club","ANC-MACLEOD","Accepted","N","","","","","","","","70","72","78","182","11","11","","","70","72","78","182","11","11",
"1038644","125209","Mx.MasD.8+","Mx MasD 8+","","RAF","Royal Air Force Rowing Club","Royal Air Force","Accepted","Y","RAF/NWK","","","","","","","316","516","261","293","140","224","","","316","516","261","293","45","45",
"1038944","125209","Mx.MasD.8+","Mx MasD 8+","","AKN","Auriol Kensington Rowing Club","AKN-RAFFAELE","Accepted","N","","B","","","","","","901","964","212","292","53","71","","","901","964","212","292","53","71",
