"Event ID","Event Identity","Number Of Rowers","Sculling Status","Coxed Status","Event Gender","Event Type","Age Restriction","Sub Category","Event Info","Notes","Fee","Override Name","Previous Event ID",
"118791","1x","91","Y","N","Open","Senior","0","","","","39","Op 1x","",
"118792","Lwt.1x","30","Y","N","Open","Senior","0","Lwt","","","39","Op Lwt 1x","",
"118793","U23.1x","16","Y","N","Open","Senior","0","U23","","","39","Op U23 1x","",
"118794","W.1x","37","Y","N","Female","Senior","0","","","","39","W 1x","",
"118795","W.Lwt.1x","19","Y","N","Female","Senior","0","Lwt","","","39","W Lwt 1x","",
"118796","W.U23.1x","7","Y","N","Female","Senior","0","U23","","","39","W U23 1x","",
"118797","Sch/Jun.1x","29","Y","N","Open","Junior","19","Sch/Jun","","","39","Op Sch/Jun 1x","",
"118798","J17.1x","24","Y","N","Open","Junior","17","J17","","","39","Op J17 1x","",
"118799","J16.1x","21","Y","N","Open","Junior","16","J16","","","39","Op J16 1x","",
"118800","W.Sch/Jun.1x","15","Y","N","Female","Junior","19","Sch/Jun","","","39","W Sch/Jun 1x","",
"118801","W.J17.1x","15","Y","N","Female","Junior","17","J17","","","39","W J17 1x","",
"118802","W.J16.1x","13","Y","N","Female","Junior","16","J16","","","39","W J16 1x","",
"118803","MasA.1x","26","Y","N","Open","Master","27","MasA","","","39","Op MasA 1x","",
"118804","MasB.1x","29","Y","N","Open","Master","36","MasB","","","39","Op MasB 1x","",
"118805","MasC.1x","29","Y","N","Open","Master","43","MasC","","","39","Op MasC 1x","",
"118806","MasD.1x","31","Y","N","Open","Master","50","MasD","","","39","Op MasD 1x","",
"118807","MasE.1x","36","Y","N","Open","Master","55","MasE","","","39","Op MasE 1x","",
"118808","MasF.1x","30","Y","N","Open","Master","60","MasF","","","39","Op MasF 1x","",
"118809","MasG.1x","12","Y","N","Open","Master","65","MasG","","","39","Op MasG 1x","",
"118810","MasH.1x","7","Y","N","Open","Master","70","MasH","","","39","Op MasH 1x","",
"118811","MasI.1x","1","Y","N","Open","Master","75","MasI","","","39","Op MasI 1x","",
"118812","MasJ.1x","0","Y","N","Open","Master","80","MasJ","","","39","Op MasJ 1x","",
"118813","MasK.1x","0","Y","N","Open","Master","85","MasK","","","39","Op MasK 1x","",
"118814","W.MasA.1x","9","Y","N","Female","Master","27","MasA","","","39","W MasA 1x","",
"118815","W.MasB.1x","13","Y","N","Female","Master","36","MasB","","","39","W MasB 1x","",
"118816","W.MasC.1x","17","Y","N","Female","Master","43","MasC","","","39","W MasC 1x","",
"118817","W.MasD.1x","10","Y","N","Female","Master","50","MasD","","","39","W MasD 1x","",
"118818","W.MasE.1x","20","Y","N","Female","Master","55","MasE","","","39","W MasE 1x","",
"118819","W.MasF.1x","4","Y","N","Female","Master","60","MasF","","","39","W MasF 1x","",
"118820","W.MasG.1x","2","Y","N","Female","Master","65","MasG","","","39","W MasG 1x","",
"118821","W.MasH.1x","0","Y","N","Female","Master","70","MasH","","","39","W MasH 1x","",
"118822","W.MasI.1x","0","Y","N","Female","Master","75","MasI","","","39","W MasI 1x","",
"118823","W.MasJ.1x","0","Y","N","Female","Master","80","MasJ","","","39","W MasJ 1x","",
"118824","W.MasK.1x","0","Y","N","Female","Master","85","MasK","","","39","W MasK 1x","",
