"Crew ID","Crew Name","Event ID","Event Identity","Actual Masters Crew Category","Composite","Composite Code","Submitting Club","Submitting Club Index",
"1026966","AKN-MEARING-SMITH","118803","MasA.1x","A","N","","Auriol Kensington Rowing Club","AKN",
"1026987","TRC-RYAN","118803","MasA.1x","A","N","","Thames Rowing Club","TRC",
"1026988","TRC-LEE","118803","MasA.1x","A","N","","Thames Rowing Club","TRC",
"1026862","TTR-DODD","118804","MasB.1x","B","N","","Thames Tradesmen's Rowing Club","TTR",
"1026886","GLB-ASKIN","118804","MasB.1x","B","N","","Globe Rowing Club","GLB",
"1027055","TKC-KEANE","118804","MasB.1x","B","N","","Team Keane Sculling School","TKC",
"1027057","MON-BUTLER","118804","MasB.1x","B","N","","Monmouth Rowing Club","MON",
"1027135","HEN-HILLYARD","118804","MasB.1x","B","N","","Henley Rowing Club","HEN",
"1027156","TRC-YATES","118804","MasB.1x","B","N","","Thames Rowing Club","TRC",
"1027163","LER-SMITH","118804","MasB.1x","B","N","","Leicester Rowing Club","LER",
"1026819","NST-SILVESTER","118805","MasC.1x","C","N","","North Staffordshire Rowing Club","NST",
"1026827","Mackworth-Praed","118805","MasC.1x","C","N","","Auriol Kensington Rowing Club","AKN",
"1026859","Reynolds","118805","MasC.1x","C","N","","Thames Tradesmen's Rowing Club","TTR",
"1027157","TRC-ANDREESEN","118805","MasC.1x","C","N","","Thames Rowing Club","TRC",
"1027162","MAR-GARNETT","118805","MasC.1x","C","N","","Marlow Rowing Club","MAR",
"1026829","MHD-STOCKDALE","118806","MasD.1x","D","N","","Maidenhead Rowing Club","MHD",
"1026863","MHD-STEEL","118806","MasD.1x","D","N","","Maidenhead Rowing Club","MHD",
"1027008","ETX-LEN","118806","MasD.1x","D","N","","Eton Excelsior Rowing Club","ETX",
"1027009","ETX-FULTON","118806","MasD.1x","D","N","","Eton Excelsior Rowing Club","ETX",
"1027155","Tim Ellis","118806","MasD.1x","D","N","","Royal Air Force Rowing Club","RAF",
"1026874","tone","118807","MasE.1x","E","N","","Wycliffe College Boat Club","WYC",
"1026964","MAR-GALBRAITH","118807","MasE.1x","E","N","","Marlow Rowing Club","MAR",
"1026979","MAR-LANDERS","118807","MasE.1x","E","N","","Marlow Rowing Club","MAR",
"1026984","TRC-MCCONNELL","118807","MasE.1x","E","N","","Thames Rowing Club","TRC",
"1026990","NWK-PRICE","118807","MasE.1x","E","N","","Newark Rowing Club","NWK",
"1027018","QBC-AQUILINA","118807","MasE.1x","E","N","","Quintin Boat Club","QBC",
"1027024","BEB-MORRIS J","118807","MasE.1x","E","N","","Bewl Bridge Rowing Club","BEB",
"1027053","BEB-MAUNSELL","118807","MasE.1x","E","N","","Bewl Bridge Rowing Club","BEB",
"1026828","MHD-FRICKER","118808","MasF.1x","F","N","","Maidenhead Rowing Club","MHD",
"1027016","QBC-HARRISON","118808","MasF.1x","F","N","","Quintin Boat Club","QBC",
"1027101","J Farrell","118808","MasF.1x","F","N","","St Neots Rowing Club","SNE",
"1027159","TRC-WATKISS","118808","MasF.1x","F","N","","Thames Rowing Club","TRC",
"1027054","Belfast Boat Club","118809","MasG.1x","G","N","","Belfast Boat Club","ZBF",
"1027021","QBC-BISHOP","118810","MasH.1x","H","N","","Quintin Boat Club","QBC",
"1027158","TRC-GARNER","118810","MasH.1x","H","N","","Thames Rowing Club","TRC",
"1027082","TSS-NORGATE","118814","W.MasA.1x","A","N","","Tideway Scullers School","TSS",
"1027138","Ferlez","118814","W.MasA.1x","A","N","","Weybridge Rowing Club","WEY",
"1026910","TRC-HARRIS","118815","W.MasB.1x","B","N","","Thames Rowing Club","TRC",
"1027084","BBL-BALDWIN","118815","W.MasB.1x","B","N","","Barnes Bridge Ladies Rowing Club","BBL",
"1026673","MAA-RAMSDEN","118816","W.MasC.1x","C","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1027010","ETX-SIMPSON","118816","W.MasC.1x","C","N","","Eton Excelsior Rowing Club","ETX",
"1027083","BBL-POWELL","118816","W.MasC.1x","C","N","","Barnes Bridge Ladies Rowing Club","BBL",
"1027002","LEA-SNAITH","118817","W.MasD.1x","D","N","","Lea Rowing Club","LEA",
"1026676","MAA-BELL-SYER","118818","W.MasE.1x","E","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1026798","klok","118818","W.MasE.1x","E","N","","Thyro Rowing Club","",
"1026884","GLB-HILL","118818","W.MasE.1x","E","N","","Globe Rowing Club","GLB",
"1026980","HEN-MEHERS","118818","W.MasE.1x","E","N","","Henley Rowing Club","HEN",
"1027023","BEB-MORRIS","118818","W.MasE.1x","E","N","","Bewl Bridge Rowing Club","BEB",
"1027041","WYC-PAYNE","118818","W.MasE.1x","E","N","","Wycliffe College Boat Club","WYC",
